#scalar perturbations for mode k = 3.115658154372e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.256021905878e+00       4.874387638719e-06      -1.207715366061e+00       6.573012634077e-04       1.250636532014e-08       3.126591330036e-08       1.042718052471e-14       6.253182660071e-09      -9.057865245459e-01       6.573012634077e-04       6.016789413999e-01       6.983186519478e-01      -1.207715366061e+00       6.571557227892e-04       1.979947704964e-04      -9.057865245460e-01       6.576000975847e-04 
       2.256022323991e+00       4.874388545839e-06      -1.207715367500e+00       6.573013850688e-04       1.250637228952e-08       3.126593072379e-08       1.042719021641e-14       6.253186144758e-09      -9.057865256249e-01       6.573013850688e-04       6.016789413403e-01       6.983186516798e-01      -1.207715367500e+00       6.571558443692e-04       1.979948437593e-04      -9.057865256252e-01       6.576002194117e-04 
       2.256022742103e+00       4.874389452959e-06      -1.207715368939e+00       6.573015067300e-04       1.250637925889e-08       3.126594814723e-08       1.042719990811e-14       6.253189629446e-09      -9.057865267040e-01       6.573015067300e-04       6.016789412806e-01       6.983186514117e-01      -1.207715368938e+00       6.571559659493e-04       1.979949170222e-04      -9.057865267044e-01       6.576003412387e-04 
       2.256026923227e+00       4.874398524161e-06      -1.207715383326e+00       6.573027233415e-04       1.250644895280e-08       3.126612238201e-08       1.042729682558e-14       6.253224476402e-09      -9.057865374948e-01       6.573027233415e-04       6.016789406838e-01       6.983186487309e-01      -1.207715383325e+00       6.571571817501e-04       1.979956496519e-04      -9.057865374964e-01       6.576015595086e-04 
       2.256031104351e+00       4.874407595362e-06      -1.207715397714e+00       6.573039399533e-04       1.250651864698e-08       3.126629661745e-08       1.042739374377e-14       6.253259323489e-09      -9.057865482858e-01       6.573039399533e-04       6.016789400869e-01       6.983186460499e-01      -1.207715397713e+00       6.571583975511e-04       1.979963822831e-04      -9.057865482887e-01       6.576027777787e-04 
       2.256035285475e+00       4.874416666564e-06      -1.207715412102e+00       6.573051565650e-04       1.250658834141e-08       3.126647085353e-08       1.042749066268e-14       6.253294170707e-09      -9.057865590769e-01       6.573051565650e-04       6.016789394900e-01       6.983186433690e-01      -1.207715412100e+00       6.571596133521e-04       1.979971149155e-04      -9.057865590810e-01       6.576039960489e-04 
       2.256039466599e+00       4.874425737766e-06      -1.207715426491e+00       6.573063731768e-04       1.250665803611e-08       3.126664509027e-08       1.042758758231e-14       6.253329018054e-09      -9.057865698679e-01       6.573063731768e-04       6.016789388931e-01       6.983186406881e-01      -1.207715426487e+00       6.571608291530e-04       1.979978475493e-04      -9.057865698733e-01       6.576052143190e-04 
       2.256081277840e+00       4.874516449791e-06      -1.207715570371e+00       6.573185392932e-04       1.250735499731e-08       3.126838749327e-08       1.042855681831e-14       6.253677498653e-09      -9.057866777784e-01       6.573185392932e-04       6.016789329241e-01       6.983186138790e-01      -1.207715570360e+00       6.571729871616e-04       1.980051739619e-04      -9.057866777962e-01       6.576173970197e-04 
       2.256123089081e+00       4.874607161830e-06      -1.207715714251e+00       6.573307054080e-04       1.250805198444e-08       3.127012996110e-08       1.042952612648e-14       6.254025992219e-09      -9.057867856885e-01       6.573307054080e-04       6.016789269551e-01       6.983185870701e-01      -1.207715714232e+00       6.571851451682e-04       1.980125005100e-04      -9.057867857189e-01       6.576295797195e-04 
       2.256164900322e+00       4.874697873883e-06      -1.207715858131e+00       6.573428715212e-04       1.250874899750e-08       3.127187249376e-08       1.043049550682e-14       6.254374498751e-09      -9.057868935984e-01       6.573428715212e-04       6.016789209863e-01       6.983185602615e-01      -1.207715858103e+00       6.571973031730e-04       1.980198271936e-04      -9.057868936412e-01       6.576417624182e-04 
